DATE	PREC	TEMP	QOBS
31/12/1993	0.037	17.6	4.785538818
01/01/1994	0.182	17.6	4.465168019
02/01/1994	0.007	17.6	4.825585168
03/01/1994	0.449	17.6	4.985770568
04/01/1994	3.103	17.6	5.105909618
05/01/1994	110.393	17.6	18.66159907
06/01/1994	23.986	17.6	31.8368482
07/01/1994	0.025	17.6	11.57339513
08/01/1994	0.568	17.6	8.950359212
09/01/1994	0.059	17.6	7.748968714
10/01/1994	0	17.6	6.88797219
11/01/1994	0	17.6	6.467485516
12/01/1994	0	17.6	6.227207416
13/01/1994	0	17.6	6.006952491
14/01/1994	0	17.6	5.686581692
15/01/1994	15.147	17.6	5.846767092
16/01/1994	0.899	17.6	6.387392816
17/01/1994	0	17.6	5.506373117
18/01/1994	1.686	17.6	5.346187717
19/01/1994	0.187	17.6	5.186002317
20/01/1994	0	17.6	5.165979143
21/01/1994	0.004	17.6	5.025816918
22/01/1994	0.107	17.6	4.945724218
23/01/1994	0	17.6	4.825585168
24/01/1994	0.004	17.6	4.785538818
25/01/1994	0	17.6	4.785538818
26/01/1994	0.218	17.6	4.765515643
27/01/1994	0	17.6	4.585307068
28/01/1994	0	17.6	4.505214368
29/01/1994	0	17.6	4.505214368
30/01/1994	0.046	17.6	4.505214368
31/01/1994	0.114	17.6	4.385075319
01/02/1994	0	17.6	4.325005794
02/02/1994	0.02	17.6	4.204866744
03/02/1994	0.004	17.6	4.204866744
04/02/1994	0.723	17.6	4.204866744
05/02/1994	0.162	17.6	4.164820394
06/02/1994	1.455	17.6	4.204866744
07/02/1994	11.225	17.6	4.244913094
08/02/1994	0.801	17.6	4.745492468
09/02/1994	0.218	17.6	4.204866744
10/02/1994	0.005	17.6	4.044681344
11/02/1994	0.205	17.6	3.904519119
12/02/1994	1.376	17.6	3.904519119
13/02/1994	0.32	17.6	3.924542294
14/02/1994	0.523	17.6	3.844449594
15/02/1994	1.275	17.6	3.824426419
16/02/1994	0.005	17.6	3.74433372
17/02/1994	0.3	17.6	3.604171495
18/02/1994	2.519	17.6	3.724310545
19/02/1994	0.577	17.6	3.70428737
20/02/1994	0.096	17.6	3.604171495
21/02/1994	0.005	17.6	3.604171495
22/02/1994	0.005	17.6	3.604171495
23/02/1994	0.004	17.6	3.58414832
24/02/1994	0.144	17.6	3.524078795
25/02/1994	1.068	17.6	3.524078795
26/02/1994	5.412	17.6	3.66424102
27/02/1994	0.681	17.6	3.564125145
28/02/1994	0.612	17.6	3.54410197
01/03/1994	0.119	17.6	3.50405562
02/03/1994	0.05	17.6	3.38391657
03/03/1994	15.527	17.6	2.462850521
04/03/1994	1.727	17.6	3.063545771
05/03/1994	0.791	17.6	2.262618772
06/03/1994	9.733	17.6	2.382757822
07/03/1994	0.554	17.6	3.14363847
08/03/1994	0.004	17.6	2.462850521
09/03/1994	0.005	17.6	2.262618772
10/03/1994	0.002	17.6	2.202549247
11/03/1994	0	17.6	2.122456547
12/03/1994	0	17.6	2.102433372
13/03/1994	0	17.6	2.122456547
14/03/1994	0	17.6	2.082410197
15/03/1994	1.008	17.6	2.122456547
16/03/1994	0.53	17.6	2.122456547
17/03/1994	0.015	17.6	2.122456547
18/03/1994	0.935	17.6	2.102433372
19/03/1994	0.111	17.6	2.122456547
20/03/1994	4.87	17.6	2.182526072
21/03/1994	0.015	17.6	2.122456547
22/03/1994	0.004	17.6	2.002317497
23/03/1994	0.03	17.6	1.930234067
24/03/1994	0.59	17.6	2.062387022
25/03/1994	0.159	17.6	2.122456547
26/03/1994	0.434	17.6	2.122456547
27/03/1994	2.973	17.6	2.182526072
28/03/1994	2.274	17.6	2.102433372
29/03/1994	23.005	17.6	2.703128621
30/03/1994	0.005	17.6	2.603012746
31/03/1994	0.012	17.6	2.222572422
01/04/1994	1.774	17.6	2.242595597
02/04/1994	0.512	17.6	2.322688297
03/04/1994	0	17.6	2.202549247
04/04/1994	0.004	17.6	2.122456547
05/04/1994	0.032	17.6	2.082410197
06/04/1994	0.017	17.6	1.95225956
07/04/1994	7.437	17.6	1.9682781
08/04/1994	2.821	17.6	2.262618772
09/04/1994	0	17.6	2.022340672
10/04/1994	0.087	17.6	1.982294322
11/04/1994	0.909	17.6	2.002317497
12/04/1994	0.795	17.6	1.98429664
13/04/1994	4.5	17.6	1.922224797
14/04/1994	0.002	17.6	2.022340672
15/04/1994	0.227	17.6	1.922224797
16/04/1994	2.914	17.6	1.922224797
17/04/1994	0.108	17.6	1.95225956
18/04/1994	0.642	17.6	1.922224797
19/04/1994	0.609	17.6	1.922224797
20/04/1994	0.539	17.6	1.922224797
21/04/1994	2.116	17.6	1.96026883
22/04/1994	0.216	17.6	1.948254925
23/04/1994	2.478	17.6	1.994308227
24/04/1994	3.239	17.6	2.462850521
25/04/1994	0.192	17.6	2.162502897
26/04/1994	0.965	17.6	1.990303592
27/04/1994	2.105	17.6	1.996310545
28/04/1994	20.15	17.6	3.844449594
29/04/1994	17.047	17.6	4.365052144
30/04/1994	12.498	17.6	2.763198146
01/05/1994	2.329	17.6	2.803244496
02/05/1994	0.096	17.6	2.242595597
03/05/1994	1.686	17.6	2.122456547
04/05/1994	1.99	17.6	1.942247972
05/05/1994	5.918	17.6	1.71198146
06/05/1994	3.121	17.6	1.750025492
07/05/1994	0.176	17.6	1.675939745
08/05/1994	9.469	17.6	1.603856315
09/05/1994	2.957	17.6	1.657918888
10/05/1994	4.394	17.6	1.818104287
11/05/1994	0.323	17.6	1.673937428
12/05/1994	4.152	17.6	2.022340672
13/05/1994	1.655	17.6	1.94425029
14/05/1994	4.763	17.6	2.162502897
15/05/1994	2.76	17.6	2.342711472
16/05/1994	2.52	17.6	2.342711472
17/05/1994	0.716	17.6	2.022340672
18/05/1994	9.407	17.6	1.942247972
19/05/1994	1.319	17.6	2.182526072
